[Sun Apr 13 19:52:11.742749 2014] [:error] [pid 17049] [client 127.0.0.1:56147] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 6
[Sun Apr 13 20:03:06.817138 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:06.821108 2014] [:error] [pid 17231] [client 127.0.0.1:56322] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:03:22.281306 2014] [:error] [pid 17232] [client 127.0.0.1:56324] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:22.286440 2014] [:error] [pid 17232] [client 127.0.0.1:56324] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:03:22.431063 2014] [:error] [pid 17232] [client 127.0.0.1:56324] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:03:22.434517 2014] [:error] [pid 17232] [client 127.0.0.1:56324] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:04:00.656830 2014] [:error] [pid 19580] [client 127.0.0.1:56325] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:04:00.662777 2014] [:error] [pid 19580] [client 127.0.0.1:56325] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:04:00.827781 2014] [:error] [pid 19580] [client 127.0.0.1:56325] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:04:00.831731 2014] [:error] [pid 19580] [client 127.0.0.1:56325] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:06:50.514108 2014] [:error] [pid 19645] [client 127.0.0.1:56326] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:06:50.518417 2014] [:error] [pid 19645] [client 127.0.0.1:56326] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:06:50.678912 2014] [:error] [pid 19645] [client 127.0.0.1:56326] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:06:50.682609 2014] [:error] [pid 19645] [client 127.0.0.1:56326] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:29.724950 2014] [:error] [pid 19723] [client 127.0.0.1:56367] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:29.729319 2014] [:error] [pid 19723] [client 127.0.0.1:56367] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:29.893128 2014] [:error] [pid 19723] [client 127.0.0.1:56367] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:29.896604 2014] [:error] [pid 19723] [client 127.0.0.1:56367] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:39.588761 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:39.595978 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:39.740167 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:39.744321 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:41.647435 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:41.651394 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:08:41.810549 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:08:41.814209 2014] [:error] [pid 19724] [client 127.0.0.1:56368] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:10:06.437058 2014] [:error] [pid 19794] [client 127.0.0.1:56369] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:10:06.440880 2014] [:error] [pid 19794] [client 127.0.0.1:56369] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:10:06.622198 2014] [:error] [pid 19794] [client 127.0.0.1:56369] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:10:06.626116 2014] [:error] [pid 19794] [client 127.0.0.1:56369] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:10:11.980358 2014] [:error] [pid 19795] [client 127.0.0.1:56370] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:10:11.991674 2014] [:error] [pid 19795] [client 127.0.0.1:56370] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:10:12.133235 2014] [:error] [pid 19795] [client 127.0.0.1:56370] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:10:12.136760 2014] [:error] [pid 19795] [client 127.0.0.1:56370] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:52.514996 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:52.519260 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:52.685555 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:52.688978 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.315570 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.323843 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.480329 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.483809 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.532821 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.539256 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.705654 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.709592 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.745469 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.751586 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.900613 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.904069 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:53.957284 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:53.966238 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:13:54.127698 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:13:54.131215 2014] [:error] [pid 19874] [client 127.0.0.1:56371] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:17:49.562497 2014] [:error] [pid 19962] [client 127.0.0.1:56388] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:17:49.567204 2014] [:error] [pid 19962] [client 127.0.0.1:56388] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:17:49.734907 2014] [:error] [pid 19962] [client 127.0.0.1:56388] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:17:49.738430 2014] [:error] [pid 19962] [client 127.0.0.1:56388] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:34:01.973967 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:34:01.979142 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:34:02.147704 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:34:02.151293 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:34:03.370794 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:34:03.375942 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:34:03.527486 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:34:03.531044 2014] [:error] [pid 26554] [client 127.0.0.1:56493] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:38:00.066039 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:38:00.208372 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:38:01.012135 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:38:01.017034 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:38:01.227088 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:38:01.231207 2014] [:error] [pid 1311] [client 127.0.0.1:37922] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:43:09.520911 2014] [:error] [pid 1313] [client 127.0.0.1:38030] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:43:09.524898 2014] [:error] [pid 1313] [client 127.0.0.1:38030] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:43:09.685555 2014] [:error] [pid 1313] [client 127.0.0.1:38030] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:43:09.689106 2014] [:error] [pid 1313] [client 127.0.0.1:38030] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
[Sun Apr 13 20:51:07.463963 2014] [:error] [pid 1315] [client 127.0.0.1:38069] PHP Warning:  phpinfo(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/phalcon/public/index.php on line 3
[Sun Apr 13 20:51:07.472184 2014] [:error] [pid 1315] [client 127.0.0.1:38069] PHP Fatal error:  Class 'Phalcon\\Loader' not found in /var/www/phalcon/public/index.php on line 8
